title,company_name,email,tel,salary_type,wage,employment_type,tags,calorie,steps,exercise_level,full_address,walking_minutes
工事現場サポート,スピード引越センター,dummy-recruit@example.com,03-0000-0000,日給,9379,アルバイト,屋内作業/立ちっぱなし/歩く時間が多い/上半身/全身,310,6440,5,神奈川県横浜市西区高島4-16-27 横浜市西区ビル645,13
スーパー品出しスタッフ,みどりファーム,dummy-recruit@example.com,03-0000-0000,日給,10213,パートタイム,重いものを持つ/下半身/屋外作業/立ちっぱなし/上半身,358,3559,3,東京都港区六本木4-5-16 港区ビル742,5
宅配仕分けスタッフ,シティホテルサービス株式会社,dummy-recruit@example.com,03-0000-0000,日給,10718,アルバイト,屋外作業/歩く時間が多い/上半身/屋内作業/下半身,227,4109,3,東京都新宿区西新宿3-10-9 新宿区ビル710,14
清掃スタッフ,クリーンサポート東京,dummy-recruit@example.com,03-0000-0000,時給,1365,パートタイム,屋外作業/上半身/体幹/下半身,262,4971,5,東京都中央区銀座2-20-4 中央区ビル272,11
スーパー品出しスタッフ,東都ロジスティクス株式会社,dummy-recruit@example.com,03-0000-0000,時給,1334,アルバイト,体幹/屋外作業/下半身/上半身/屋内作業,345,7283,2,千葉県船橋市本町3-10-13 船橋市ビル826,10
清掃スタッフ,シティホテルサービス株式会社,dummy-recruit@example.com,03-0000-0000,時給,1303,パートタイム,重いものを持つ/繰り返し動作が多い/下半身,444,7309,5,東京都渋谷区道玄坂5-8-8 渋谷区ビル573,10
引越しアシスタント,シティホテルサービス株式会社,dummy-recruit@example.com,03-0000-0000,日給,9746,アルバイト,屋外作業/体幹/歩く時間が多い/下半身,287,4956,2,東京都新宿区西新宿1-1-6 新宿区ビル863,15
清掃スタッフ,クリーンサポート東京,dummy-recruit@example.com,03-0000-0000,時給,1125,アルバイト,重いものを持つ/屋外作業/屋内作業/下半身,209,5064,5,東京都豊島区池袋2-1-1 豊島区ビル841,14
宅配仕分けスタッフ,みどりファーム,dummy-recruit@example.com,03-0000-0000,時給,1118,パートタイム,屋外作業/下半身/歩く時間が多い,264,6718,4,神奈川県川崎市川崎区駅前本町4-19-21 川崎市川崎区ビル489,15
イベント設営スタッフ,クイックデリバリー株式会社,dummy-recruit@example.com,03-0000-0000,時給,1404,パートタイム,下半身/歩く時間が多い/立ちっぱなし,210,5209,4,東京都品川区大崎4-15-12 品川区ビル370,10
工事現場サポート,クイックデリバリー株式会社,dummy-recruit@example.com,03-0000-0000,日給,11801,パートタイム,歩く時間が多い/屋内作業/上半身/屋外作業,219,4430,3,東京都千代田区丸の内1-3-16 千代田区ビル860,9
宅配仕分けスタッフ,みどりファーム,dummy-recruit@example.com,03-0000-0000,日給,13055,パートタイム,重いものを持つ/上半身/屋内作業/立ちっぱなし/体幹,411,7973,3,千葉県千葉市中央区富士見3-3-12 千葉市中央区ビル468,3
イベント設営スタッフ,スピード引越センター,dummy-recruit@example.com,03-0000-0000,日給,13005,アルバイト,下半身/屋外作業/体幹/上半身/重いものを持つ,352,6769,2,神奈川県川崎市川崎区駅前本町4-16-3 川崎市川崎区ビル507,11
農園収穫スタッフ,グリーンマート株式会社,dummy-recruit@example.com,03-0000-0000,日給,11294,パートタイム,下半身/繰り返し動作が多い/屋外作業/上半身,379,7724,5,神奈川県川崎市川崎区駅前本町4-2-20 川崎市川崎区ビル326,4
引越しアシスタント,シティホテルサービス株式会社,dummy-recruit@example.com,03-0000-0000,時給,1458,パートタイム,上半身/体幹/屋内作業/下半身,208,6540,5,東京都渋谷区道玄坂2-19-16 渋谷区ビル314,8
宅配仕分けスタッフ,東日本配送センター,dummy-recruit@example.com,03-0000-0000,日給,13269,パートタイム,下半身/全身/屋外作業/立ちっぱなし,403,5903,3,東京都渋谷区道玄坂3-5-23 渋谷区ビル477,8
宅配仕分けスタッフ,みどりファーム,dummy-recruit@example.com,03-0000-0000,時給,1406,アルバイト,全身/歩く時間が多い/体幹,368,4692,3,神奈川県川崎市川崎区駅前本町5-6-23 川崎市川崎区ビル772,8
宅配仕分けスタッフ,スピード引越センター,dummy-recruit@example.com,03-0000-0000,時給,1416,アルバイト,歩く時間が多い/体幹/繰り返し動作が多い,295,5849,2,千葉県千葉市中央区富士見3-13-21 千葉市中央区ビル849,15
清掃スタッフ,みどりファーム,dummy-recruit@example.com,03-0000-0000,日給,10904,パートタイム,繰り返し動作が多い/全身/歩く時間が多い/立ちっぱなし/下半身,269,7480,4,東京都港区六本木1-9-6 港区ビル356,15
イベント設営スタッフ,関東建設サポート有限会社,dummy-recruit@example.com,03-0000-0000,日給,12751,アルバイト,屋外作業/上半身/全身/歩く時間が多い,423,5987,4,東京都新宿区西新宿2-13-5 新宿区ビル320,6
工事現場サポート,スピード引越センター,dummy-recruit@example.com,03-0000-0000,時給,1180,パートタイム,屋内作業/上半身/全身/繰り返し動作が多い/体幹,409,6344,5,東京都中央区銀座4-14-3 中央区ビル649,6
農園収穫スタッフ,イベントプロダクションJP,dummy-recruit@example.com,03-0000-0000,時給,1257,アルバイト,歩く時間が多い/下半身/全身/屋内作業,263,4517,4,東京都千代田区丸の内5-16-28 千代田区ビル654,7
宅配仕分けスタッフ,スピード引越センター,dummy-recruit@example.com,03-0000-0000,時給,1493,パートタイム,上半身/重いものを持つ/立ちっぱなし,339,7820,2,東京都豊島区池袋1-15-29 豊島区ビル160,11
引越しアシスタント,東都ロジスティクス株式会社,dummy-recruit@example.com,03-0000-0000,日給,12772,パートタイム,体幹/下半身/屋内作業,436,4649,5,東京都千代田区丸の内2-6-3 千代田区ビル457,6
倉庫内ピッキングスタッフ,イベントプロダクションJP,dummy-recruit@example.com,03-0000-0000,日給,13908,パートタイム,屋外作業/立ちっぱなし/下半身/屋内作業/重いものを持つ,391,4532,5,東京都千代田区丸の内2-4-7 千代田区ビル894,4
スーパー品出しスタッフ,シティホテルサービス株式会社,dummy-recruit@example.com,03-0000-0000,時給,1376,アルバイト,全身/下半身/上半身,353,4631,2,千葉県千葉市中央区富士見2-16-10 千葉市中央区ビル799,4
清掃スタッフ,東都ロジスティクス株式会社,dummy-recruit@example.com,03-0000-0000,時給,1159,アルバイト,下半身/歩く時間が多い/屋内作業/全身,409,3950,4,神奈川県横浜市西区高島1-4-25 横浜市西区ビル452,14
イベント設営スタッフ,東都ロジスティクス株式会社,dummy-recruit@example.com,03-0000-0000,日給,11794,アルバイト,繰り返し動作が多い/下半身/全身,326,7854,5,神奈川県横浜市西区高島2-17-18 横浜市西区ビル803,7
スーパー品出しスタッフ,クイックデリバリー株式会社,dummy-recruit@example.com,03-0000-0000,時給,1390,パートタイム,屋内作業/体幹/全身,375,6246,2,東京都渋谷区道玄坂4-4-15 渋谷区ビル832,3
イベント設営スタッフ,グリーンマート株式会社,dummy-recruit@example.com,03-0000-0000,時給,1209,アルバイト,重いものを持つ/屋内作業/立ちっぱなし,235,4073,5,東京都港区六本木1-19-25 港区ビル141,8
清掃スタッフ,クイックデリバリー株式会社,dummy-recruit@example.com,03-0000-0000,日給,9200,アルバイト,上半身/屋内作業/重いものを持つ/歩く時間が多い/体幹,232,4375,4,神奈川県川崎市川崎区駅前本町5-1-1 川崎市川崎区ビル972,6
工事現場サポート,関東建設サポート有限会社,dummy-recruit@example.com,03-0000-0000,日給,11987,パートタイム,立ちっぱなし/歩く時間が多い/繰り返し動作が多い,400,6896,3,東京都千代田区丸の内5-7-26 千代田区ビル309,11
スーパー品出しスタッフ,イベントプロダクションJP,dummy-recruit@example.com,03-0000-0000,時給,1072,アルバイト,立ちっぱなし/下半身/繰り返し動作が多い,359,5055,3,東京都世田谷区三軒茶屋1-15-21 世田谷区ビル500,5
ベッドメイクスタッフ,みどりファーム,dummy-recruit@example.com,03-0000-0000,時給,1147,パートタイム,立ちっぱなし/下半身/全身,274,3926,2,東京都渋谷区道玄坂3-13-5 渋谷区ビル867,3
スーパー品出しスタッフ,スピード引越センター,dummy-recruit@example.com,03-0000-0000,日給,12345,アルバイト,体幹/繰り返し動作が多い/上半身/全身,255,5928,5,千葉県船橋市本町1-17-19 船橋市ビル498,10
倉庫内ピッキングスタッフ,東日本配送センター,dummy-recruit@example.com,03-0000-0000,時給,1142,パートタイム,下半身/重いものを持つ/屋外作業,441,4393,5,神奈川県横浜市西区高島1-8-15 横浜市西区ビル527,6
農園収穫スタッフ,イベントプロダクションJP,dummy-recruit@example.com,03-0000-0000,日給,13881,パートタイム,重いものを持つ/全身/下半身,259,6939,4,東京都新宿区西新宿4-9-20 新宿区ビル106,13
引越しアシスタント,クリーンサポート東京,dummy-recruit@example.com,03-0000-0000,時給,1186,アルバイト,体幹/立ちっぱなし/全身/下半身/屋外作業,358,5984,5,神奈川県川崎市川崎区駅前本町4-11-19 川崎市川崎区ビル864,10
宅配仕分けスタッフ,関東建設サポート有限会社,dummy-recruit@example.com,03-0000-0000,日給,13934,パートタイム,繰り返し動作が多い/全身/歩く時間が多い,431,5354,4,東京都品川区大崎2-15-29 品川区ビル617,11
イベント設営スタッフ,関東建設サポート有限会社,dummy-recruit@example.com,03-0000-0000,時給,1252,パートタイム,上半身/屋内作業/立ちっぱなし/繰り返し動作が多い,345,3562,4,千葉県船橋市本町1-14-7 船橋市ビル261,13
スーパー品出しスタッフ,東都ロジスティクス株式会社,dummy-recruit@example.com,03-0000-0000,日給,10457,アルバイト,重いものを持つ/屋内作業/繰り返し動作が多い/体幹/全身,238,6150,5,東京都新宿区西新宿2-11-11 新宿区ビル442,11
清掃スタッフ,クイックデリバリー株式会社,dummy-recruit@example.com,03-0000-0000,時給,1396,アルバイト,歩く時間が多い/下半身/繰り返し動作が多い/重いものを持つ/屋内作業,379,7425,5,東京都中央区銀座5-16-3 中央区ビル552,6
農園収穫スタッフ,スピード引越センター,dummy-recruit@example.com,03-0000-0000,時給,1477,パートタイム,立ちっぱなし/下半身/歩く時間が多い/屋外作業/繰り返し動作が多い,450,6551,4,東京都品川区大崎4-4-26 品川区ビル403,12
倉庫内ピッキングスタッフ,グリーンマート株式会社,dummy-recruit@example.com,03-0000-0000,時給,1497,パートタイム,立ちっぱなし/下半身/上半身,393,4393,3,東京都港区六本木5-5-25 港区ビル595,4
工事現場サポート,シティホテルサービス株式会社,dummy-recruit@example.com,03-0000-0000,時給,1471,パートタイム,重いものを持つ/全身/下半身/立ちっぱなし/屋外作業,258,5507,3,神奈川県横浜市西区高島3-14-15 横浜市西区ビル667,14
農園収穫スタッフ,関東建設サポート有限会社,dummy-recruit@example.com,03-0000-0000,時給,1442,アルバイト,上半身/屋内作業/体幹/繰り返し動作が多い/下半身,424,7783,5,東京都渋谷区道玄坂4-8-15 渋谷区ビル845,15
清掃スタッフ,クイックデリバリー株式会社,dummy-recruit@example.com,03-0000-0000,日給,10732,アルバイト,上半身/屋外作業/歩く時間が多い/体幹/屋内作業,249,5861,4,千葉県千葉市中央区富士見3-13-20 千葉市中央区ビル319,10
イベント設営スタッフ,東都ロジスティクス株式会社,dummy-recruit@example.com,03-0000-0000,日給,11631,パートタイム,体幹/屋外作業/繰り返し動作が多い/歩く時間が多い/立ちっぱなし,294,3994,5,神奈川県川崎市川崎区駅前本町5-12-7 川崎市川崎区ビル123,6
倉庫内ピッキングスタッフ,イベントプロダクションJP,dummy-recruit@example.com,03-0000-0000,時給,1177,パートタイム,立ちっぱなし/重いものを持つ/下半身,386,6504,4,東京都豊島区池袋5-10-5 豊島区ビル733,11
デリバリースタッフ,シティホテルサービス株式会社,dummy-recruit@example.com,03-0000-0000,日給,12574,アルバイト,屋内作業/全身/歩く時間が多い,241,6924,4,東京都品川区大崎5-1-5 品川区ビル587,10
スーパー品出しスタッフ,クリーンサポート東京,dummy-recruit@example.com,03-0000-0000,日給,9026,パートタイム,上半身/重いものを持つ/屋内作業/全身/立ちっぱなし,366,5404,5,東京都品川区大崎1-4-23 品川区ビル675,5
デリバリースタッフ,関東建設サポート有限会社,dummy-recruit@example.com,03-0000-0000,時給,1282,パートタイム,繰り返し動作が多い/全身/上半身/屋外作業,445,6646,5,東京都新宿区西新宿5-7-9 新宿区ビル458,15
倉庫内ピッキングスタッフ,スピード引越センター,dummy-recruit@example.com,03-0000-0000,時給,1468,パートタイム,上半身/繰り返し動作が多い/屋内作業,365,4488,2,東京都中央区銀座5-1-18 中央区ビル732,13
引越しアシスタント,東都ロジスティクス株式会社,dummy-recruit@example.com,03-0000-0000,時給,1393,アルバイト,歩く時間が多い/下半身/重いものを持つ,266,6228,5,東京都豊島区池袋3-16-19 豊島区ビル563,9
倉庫内ピッキングスタッフ,クイックデリバリー株式会社,dummy-recruit@example.com,03-0000-0000,時給,1399,アルバイト,下半身/上半身/歩く時間が多い,360,5256,2,千葉県船橋市本町3-2-7 船橋市ビル602,7
清掃スタッフ,イベントプロダクションJP,dummy-recruit@example.com,03-0000-0000,日給,9051,パートタイム,下半身/屋外作業/全身/屋内作業,307,4480,4,東京都世田谷区三軒茶屋5-11-24 世田谷区ビル134,6
農園収穫スタッフ,東都ロジスティクス株式会社,dummy-recruit@example.com,03-0000-0000,時給,1142,パートタイム,屋内作業/体幹/下半身/立ちっぱなし,235,5086,2,東京都中央区銀座3-7-3 中央区ビル940,4
ベッドメイクスタッフ,関東建設サポート有限会社,dummy-recruit@example.com,03-0000-0000,日給,10106,パートタイム,体幹/上半身/全身/歩く時間が多い,367,5930,3,東京都千代田区丸の内1-12-28 千代田区ビル135,12
引越しアシスタント,スピード引越センター,dummy-recruit@example.com,03-0000-0000,時給,1245,アルバイト,屋外作業/体幹/屋内作業,380,7435,2,神奈川県横浜市西区高島5-12-25 横浜市西区ビル554,15
工事現場サポート,イベントプロダクションJP,dummy-recruit@example.com,03-0000-0000,時給,1496,アルバイト,屋外作業/立ちっぱなし/全身/繰り返し動作が多い/下半身,343,4036,2,東京都港区六本木5-19-5 港区ビル277,4
スーパー品出しスタッフ,イベントプロダクションJP,dummy-recruit@example.com,03-0000-0000,時給,1359,アルバイト,上半身/体幹/重いものを持つ/下半身,449,7656,5,東京都新宿区西新宿3-20-16 新宿区ビル637,13
ベッドメイクスタッフ,クリーンサポート東京,dummy-recruit@example.com,03-0000-0000,時給,1057,アルバイト,歩く時間が多い/下半身/重いものを持つ/繰り返し動作が多い/屋内作業,233,3911,3,東京都新宿区西新宿1-19-26 新宿区ビル181,10
イベント設営スタッフ,クイックデリバリー株式会社,dummy-recruit@example.com,03-0000-0000,日給,9359,パートタイム,立ちっぱなし/体幹/上半身/繰り返し動作が多い,301,7935,2,千葉県船橋市本町2-16-20 船橋市ビル265,10
清掃スタッフ,みどりファーム,dummy-recruit@example.com,03-0000-0000,日給,11979,パートタイム,繰り返し動作が多い/屋内作業/上半身,334,7532,5,東京都渋谷区道玄坂4-9-16 渋谷区ビル379,5
工事現場サポート,東日本配送センター,dummy-recruit@example.com,03-0000-0000,日給,9917,パートタイム,上半身/繰り返し動作が多い/重いものを持つ/屋内作業/下半身,344,5014,4,東京都品川区大崎3-2-22 品川区ビル957,9
イベント設営スタッフ,関東建設サポート有限会社,dummy-recruit@example.com,03-0000-0000,日給,12335,アルバイト,屋内作業/重いものを持つ/歩く時間が多い/上半身/屋外作業,200,4876,4,千葉県千葉市中央区富士見1-10-15 千葉市中央区ビル730,9
工事現場サポート,クリーンサポート東京,dummy-recruit@example.com,03-0000-0000,時給,1365,パートタイム,繰り返し動作が多い/屋外作業/全身/重いものを持つ,384,4107,3,東京都中央区銀座3-9-29 中央区ビル832,3
農園収穫スタッフ,グリーンマート株式会社,dummy-recruit@example.com,03-0000-0000,時給,1225,アルバイト,下半身/屋外作業/繰り返し動作が多い,283,6654,5,千葉県船橋市本町3-10-7 船橋市ビル149,4
イベント設営スタッフ,グリーンマート株式会社,dummy-recruit@example.com,03-0000-0000,日給,10579,アルバイト,歩く時間が多い/全身/屋内作業/屋外作業,441,5209,5,神奈川県横浜市西区高島1-20-6 横浜市西区ビル900,3
宅配仕分けスタッフ,みどりファーム,dummy-recruit@example.com,03-0000-0000,時給,1467,アルバイト,体幹/下半身/繰り返し動作が多い,219,3511,5,東京都中央区銀座2-4-16 中央区ビル792,7
倉庫内ピッキングスタッフ,クリーンサポート東京,dummy-recruit@example.com,03-0000-0000,日給,12367,アルバイト,下半身/立ちっぱなし/全身,224,6449,5,千葉県千葉市中央区富士見5-13-1 千葉市中央区ビル803,8
農園収穫スタッフ,みどりファーム,dummy-recruit@example.com,03-0000-0000,日給,12112,パートタイム,屋外作業/屋内作業/重いものを持つ/下半身/上半身,405,6279,3,東京都品川区大崎4-20-16 品川区ビル332,15
宅配仕分けスタッフ,みどりファーム,dummy-recruit@example.com,03-0000-0000,時給,1221,パートタイム,屋内作業/上半身/重いものを持つ,214,6394,3,東京都渋谷区道玄坂1-19-3 渋谷区ビル134,15
デリバリースタッフ,東日本配送センター,dummy-recruit@example.com,03-0000-0000,時給,1395,パートタイム,全身/繰り返し動作が多い/上半身,251,6491,2,神奈川県横浜市西区高島5-13-14 横浜市西区ビル995,5
宅配仕分けスタッフ,グリーンマート株式会社,dummy-recruit@example.com,03-0000-0000,日給,11031,パートタイム,歩く時間が多い/重いものを持つ/体幹/屋内作業,319,4623,3,東京都世田谷区三軒茶屋1-2-30 世田谷区ビル819,5
倉庫内ピッキングスタッフ,スピード引越センター,dummy-recruit@example.com,03-0000-0000,日給,11956,パートタイム,屋内作業/重いものを持つ/歩く時間が多い/下半身,441,5545,3,東京都千代田区丸の内3-19-7 千代田区ビル149,12
倉庫内ピッキングスタッフ,東日本配送センター,dummy-recruit@example.com,03-0000-0000,日給,12974,アルバイト,体幹/重いものを持つ/屋外作業/歩く時間が多い/立ちっぱなし,352,6249,5,東京都豊島区池袋2-11-9 豊島区ビル406,5
ベッドメイクスタッフ,東都ロジスティクス株式会社,dummy-recruit@example.com,03-0000-0000,日給,12866,パートタイム,重いものを持つ/屋外作業/歩く時間が多い,374,6691,3,千葉県千葉市中央区富士見2-18-12 千葉市中央区ビル843,3
清掃スタッフ,スピード引越センター,dummy-recruit@example.com,03-0000-0000,時給,1111,パートタイム,繰り返し動作が多い/全身/下半身/屋外作業,354,6022,3,千葉県船橋市本町1-12-6 船橋市ビル636,6
清掃スタッフ,みどりファーム,dummy-recruit@example.com,03-0000-0000,日給,13444,アルバイト,体幹/全身/屋外作業/重いものを持つ,235,6537,4,東京都千代田区丸の内4-19-6 千代田区ビル720,4
農園収穫スタッフ,関東建設サポート有限会社,dummy-recruit@example.com,03-0000-0000,日給,13099,アルバイト,屋内作業/屋外作業/歩く時間が多い/重いものを持つ,263,5319,3,東京都世田谷区三軒茶屋2-9-17 世田谷区ビル651,7
ベッドメイクスタッフ,関東建設サポート有限会社,dummy-recruit@example.com,03-0000-0000,時給,1366,アルバイト,屋内作業/下半身/立ちっぱなし,362,7078,3,東京都千代田区丸の内2-11-14 千代田区ビル375,15
農園収穫スタッフ,東日本配送センター,dummy-recruit@example.com,03-0000-0000,日給,13242,パートタイム,重いものを持つ/屋外作業/屋内作業/全身,355,4890,2,東京都豊島区池袋1-9-24 豊島区ビル613,11
宅配仕分けスタッフ,関東建設サポート有限会社,dummy-recruit@example.com,03-0000-0000,時給,1441,パートタイム,上半身/屋内作業/歩く時間が多い/屋外作業,227,5730,4,千葉県千葉市中央区富士見2-18-15 千葉市中央区ビル929,6
イベント設営スタッフ,スピード引越センター,dummy-recruit@example.com,03-0000-0000,時給,1273,アルバイト,下半身/全身/屋内作業,376,6674,2,千葉県船橋市本町1-19-26 船橋市ビル939,10
倉庫内ピッキングスタッフ,東日本配送センター,dummy-recruit@example.com,03-0000-0000,時給,1457,アルバイト,立ちっぱなし/屋外作業/上半身,427,4053,2,東京都世田谷区三軒茶屋1-9-28 世田谷区ビル187,10
農園収穫スタッフ,イベントプロダクションJP,dummy-recruit@example.com,03-0000-0000,時給,1346,アルバイト,立ちっぱなし/全身/上半身,432,6391,3,東京都渋谷区道玄坂2-18-27 渋谷区ビル133,12
ベッドメイクスタッフ,グリーンマート株式会社,dummy-recruit@example.com,03-0000-0000,日給,13583,パートタイム,上半身/体幹/屋内作業/重いものを持つ,257,7130,3,東京都渋谷区道玄坂3-4-13 渋谷区ビル970,9
農園収穫スタッフ,クリーンサポート東京,dummy-recruit@example.com,03-0000-0000,日給,9231,パートタイム,屋外作業/繰り返し動作が多い/上半身/立ちっぱなし,296,5998,5,千葉県船橋市本町3-16-15 船橋市ビル250,7
イベント設営スタッフ,みどりファーム,dummy-recruit@example.com,03-0000-0000,日給,9790,アルバイト,立ちっぱなし/繰り返し動作が多い/上半身,391,6518,2,東京都新宿区西新宿4-7-17 新宿区ビル804,14
ベッドメイクスタッフ,イベントプロダクションJP,dummy-recruit@example.com,03-0000-0000,時給,1296,パートタイム,全身/上半身/繰り返し動作が多い/体幹/屋外作業,329,7916,5,東京都港区六本木4-7-29 港区ビル874,14
倉庫内ピッキングスタッフ,グリーンマート株式会社,dummy-recruit@example.com,03-0000-0000,日給,11078,アルバイト,屋内作業/体幹/上半身/歩く時間が多い/屋外作業,447,7967,2,千葉県千葉市中央区富士見4-8-4 千葉市中央区ビル187,10
倉庫内ピッキングスタッフ,関東建設サポート有限会社,dummy-recruit@example.com,03-0000-0000,日給,13092,パートタイム,全身/下半身/繰り返し動作が多い/屋外作業,392,6331,4,千葉県船橋市本町5-14-10 船橋市ビル389,10
宅配仕分けスタッフ,関東建設サポート有限会社,dummy-recruit@example.com,03-0000-0000,日給,10752,パートタイム,下半身/屋内作業/重いものを持つ,283,4163,2,東京都新宿区西新宿1-2-17 新宿区ビル453,5
スーパー品出しスタッフ,東都ロジスティクス株式会社,dummy-recruit@example.com,03-0000-0000,日給,13486,アルバイト,歩く時間が多い/体幹/立ちっぱなし,352,5406,4,東京都新宿区西新宿5-14-3 新宿区ビル995,9
宅配仕分けスタッフ,スピード引越センター,dummy-recruit@example.com,03-0000-0000,時給,1110,アルバイト,屋外作業/歩く時間が多い/立ちっぱなし,430,5490,3,神奈川県横浜市西区高島3-10-4 横浜市西区ビル511,8
清掃スタッフ,東都ロジスティクス株式会社,dummy-recruit@example.com,03-0000-0000,日給,13797,パートタイム,歩く時間が多い/繰り返し動作が多い/下半身,204,7846,5,神奈川県川崎市川崎区駅前本町2-17-22 川崎市川崎区ビル416,9
清掃スタッフ,スピード引越センター,dummy-recruit@example.com,03-0000-0000,日給,9262,アルバイト,屋内作業/立ちっぱなし/上半身,363,4817,2,千葉県千葉市中央区富士見1-18-18 千葉市中央区ビル551,8
倉庫内ピッキングスタッフ,スピード引越センター,dummy-recruit@example.com,03-0000-0000,時給,1351,アルバイト,屋内作業/体幹/重いものを持つ/立ちっぱなし,315,4195,2,東京都渋谷区道玄坂4-20-2 渋谷区ビル194,6
引越しアシスタント,クイックデリバリー株式会社,dummy-recruit@example.com,03-0000-0000,日給,10704,パートタイム,全身/上半身/屋外作業,301,4452,2,東京都中央区銀座1-8-20 中央区ビル668,9
